id,source,translation
1,«Лжешь»! подумал я.,「嘘だ」と、私は思った。
2,"Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей.",指輪とキーホルダーは薄いパンのくさいアピールで手紙に合わせにくかった。そして、カミシェフの顔には、経験豊富な目でしか見えない程度の微かな雲が通り過ぎたが、それはまれにしか嘘をつかない人々の顔に見られるものだった。
3,Какой сюжет вашей повести? спросил я.,私は尋ねました：「あなたの物語のプロットは何ですか？」
4,Сюжет.,プロット。
5,Как бы вам сказать?,どう言いましょうか？
6,Сюжет не новый.,ストーリーは新しくありません。
7,"Любовь, убийство.",愛、殺人。
8,"Да вы прочтете, увидите.",「読んだら、わかる」と言った。
9,«Из записок судебного следователя».,「検察官のメモから」。
10,Камышев вскинул на меня своими добрыми глазами и тихо засмеялся.,カミシェフは優しい目で私を見上げ、静かに笑った。
11,Надоедная служба.,面倒な仕事です。
12,"Служил-служил, махнул рукой и бросил.",仕事していた、仕事していた、手を振って放り出した。
13,"Занятий у меня теперь нет, есть почти нечего.",私には今は仕事がなく、ほとんど何もありません。
14,"И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение.",もし、あなたが私の物語を軽視して、印刷したら、それは私に対して恩恵以上のことをしてくださることになります。
15,Вы поможете мне.,手伝ってくれますか。
16,"Газета не богадельня, не странно-приимный дом.",新聞は救貧院でもなければ、奇怪な宿屋でもない。
17,"Я это знаю, но.",それは私も知っているが。
18,уж вы будьте так добры.,どうかお願いします。
19,Очень рад.,とても喜んでいます。
20,Чем могу быть полезен?,どのようにお役に立てますか？
21,"Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами:",始まりに魅了されたいと望むものは座って、床にせまる嘆願めいた目で見つめながら話を続けました：
22,"Я притащил к вам маленькую повесть, которую мне хотелось бы напечатать в вашей газете.",あなたの新聞に掲載していただきたい小説を持ってきました。
23,"Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких.",正直に言いますと、編集者さん。私は自分の物語を書いたのは作家としての名声や甘美な響きを追い求めるためではありませんでした。
24,Для этих хороших вещей я уже постарел.,これらのいいことには、もう年をとりすぎた。
25,Вступаю же на путь авторский просто из меркантильных побуждений.,私は単に利己的な動機から、作家の道に進むことにしました。
26,Заработать хочется.,稼ぎたい。
27,Я теперь решительно никаких не имею занятий.,私は今、決して何の用事もありません。
28,"Был, знаете ли, судебным следователем в С-м уезде, прослужил пять с лишком лет, но ни капитала не нажил, ни невинности не сохранил.",「ええと、うちがそのＳ郡の刑事調査官だったころ、５年以上は仕えましたが、財産を築いたわけでもなく、無罪を守ることもできませんでしたね」と言った。
29,"«Как, однако, он много говорит!» подумал я, протягивая руку к перу и тем давая знать, что мне некогда.",「なんて話す人なのだろう」と私は思いながら、ペンに手を伸ばし、そうして忙しいことを伝える合図をした。
30,(Уж больно надоели мне тогда посетители!),（その時の訪問者たちは、あまりにもうんざりさせられました！）
31,Я отниму у вас одну только минуту! продолжал мой герой извиняющимся голосом.,「たった一分お時間をいただければ！」と、私の主人が謝って言った。
32,Но прежде всего позвольте представиться.,まずは自己紹介させてください。
33,"Кандидат прав Иван Петрович Камышев, бывший судебный следователь.",候補者であるイヴァン・ペトロヴィッチ・カミシェフは元検察官です。
34,"К пишущим людям не имею чести принадлежать, но, тем не менее, явился к вам с чисто писательскими целями.",書く人たちには参加する光栄がありませんが、それにも関わらず、私は純粋な作家の目的であなたに現れました。
35,"Перед вами стоит желающий попасть в начинающие, несмотря на свои под сорок.",あなたの前には、自分が40歳になろうとしているという事実にも関わらず、初心者の仲間入りを希望している人が立っています。
36,"Но лучше поздно, чем никогда.",遅くてもしっかりとした方がいい。
37,"Войдя ко мне в кабинет, он сконфузился.",彼はオフィスに入ってきたとき、困惑した。
38,"Его нежную, чуткую натуру, вероятно, шокировал мой нахмуренный, недовольный вид.",彼の優しくて敏感な性格は、おそらく私の険しい不満な様子にショックを受けたことだろう。
39,"Извините, ради бога!",お詫びします、ノイでもありません。
40,"начал он мягким, сочным баритоном.",彼は、やわらかく、みずみずしいバリトンで言い始めた。
41,Я врываюсь к вам не в урочное время и заставляю вас делать для меня исключение.,私は皆さんの忙しい時間に割り込んで、特別なお願いをすることになります。
42,Вы так заняты!,あなたはとても忙しいのですね！
43,"Но видите ли, в чем дело, г. редактор: я завтра уезжаю в Одессу по одному очень важному делу.",しかし、事情はわかりますよ、編集長さん、私は明日非常に重要な用件でオデッサに出張するのです。
44,"Имей я возможность отложить эту поездку до субботы, то, верьте, я не просил бы вас делать для меня исключение.",もし私が土曜日までこの旅行を延期することができるなら、信じてください、私はあなたに私のために特別な例外をお願いすることはありませんでした。
45,"Я преклоняюсь перед правилами, потому что люблю порядок.",私は秩序が好きなので、規則に敬意を払います。
46,"Каштановые волосы и борода густы и мягки, как шёлк.",栗色の髪とひげは、シルクのように濃くて柔らかい。
47,"Говорят, что мягкие волосы служат признаком мягкой, нежной, «шёлковой» души.",柔らかい髪は、柔らかく優しい「シルクのような」魂の証だと言われています。
48,"Преступники и злые, упрямые характеры имеют, в большинстве случаев, жесткие волосы.",犯罪者や悪い、頑固な性格を持つ人々は、ほとんどの場合、硬い髪を持っています。
49,Правда это или нет читатель опять-таки увидит далее.,読者は、これが真実なのかどうかは後で見ることになるだろう。
50,"Ни выражение лица, ни борода ничто так не мягко и не нежно в господине с кокардой, как движения его большого, тяжелого тела.",彼の顔つきも、ひげも、上官のセカハンを除けば、彼の大きく重い身体の動きほど優雅で柔らかなものはなかった。
51,"В этих движениях сквозят воспитанность, легкость, грация и даже простите за выражение некоторая женственность.",これらの動きには、教養、軽やかさ、優雅さ、そして言い方が悪いかもしれませんが、ある程度の女性らしさも感じられます。
52,"Не много нужно усилий моему герою, чтобы согнуть подкову или сплющить в кулаке коробку из-под сардинок, а между тем ни одно его движение не выдает в нем физически сильного.",主人公には、蹄鉄を曲げたり、ニシンの缶を握りつぶしたりするのに多くの努力は必要ありませんが、彼の動きからは物理的に強い存在ではないことが伝わってきません。
53,"За дверную ручку или за шляпу он берется, как за бабочку: нежно, осторожно, слегка касаясь пальцами.",ドアの取っ手や帽子を彼は、まるで蝶々を触るように、優しく、慎重に、指先で軽くなぞらえる。
54,"Шаги его бесшумны, рукопожатия слабы.",彼の足音は音をたてず、握手は弱い。
55,"Глядя на него, забываешь, что он могуч, как Голиаф, что одной рукой может поднять он то, чего не поднять пяти редакционным Андреям.",彼を見つめると、彼がゴリアテのように強力であり、一人で五人の編集者たちが持ち上げきれないものを片手で持ち上げることができることを忘れてしまう。
56,"Глядя на его легкие движения, не верится, что он силен и тяжел.",彼の軽やかな動きを見ると、彼が力強くて重いことを信じられない。
57,Спенсер мог бы назвать его образцом грации.,スペンサーは彼を優雅の見本と呼ぶことができたでしょう。
58,"От всего лица так и веет простотой, широкой, простецкой натурой, правдой.",顔全体が、広くて純朴な性格や真実さといったもので包まれている。
