id,source,translation
1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни:","Wszystko kolejne było przewidywalne: okrzyki i jęki, nerwowe żarty i pochwały skierowane do mnie, stojącego w białym przy piecu."
2,"Маэстро, вы превзошли себя!","Maestro, przewyższyłeś samego siebie!"
3,"Сюзанна, ты чувствуешь запах ста тысяч, брошенных Настасьей Филипповной в огонь?","Susanno, czy czujesz zapach stu tysięcy, wyrzuconych przez Nastazję Filipownę w ogień?"
4,"Милый, сколько же сегодня сжег ты для меня?","Kochanie, ile dzisiaj dla mnie spaliłeś?"
5,"Барбара, мы с тобой преступницы!","Barbara, jesteśmy przestępczyniami!"
6,"Ах, в этой рыбе привкус безумия!","Och, w tej rybie czuć smak szaleństwa!"
7,"Томас, стыдно признаться, но я впервые ем и осетрину!","Tomku, wstyd się przyznać, ale po raz pierwszy jadam jesiotra!"
8,"Попыхивая сигарой, достаю пачку красивых полупрозрачных английских банкнот с самодовольной физиономией короля, вынимаю одну, складываю из нее тельца.","Dymiąc papierosem, wyciągam paczkę pięknych półprzezroczystych angielskich banknotów z dumnie wyglądającą miną króla, wyjmuję jeden i składam go w trójkąt."
9,Кладу в пепельницу и поджигаю.,Wkładam do popielniczki i podpalam.
10,"Это жертва благодарения цифровому миру, обеспечившему нас работой.","To ofiara wdzięczności cyfrowemu światu, który zapewnił nam pracę."
11,Я совершаю этот ритуал каждый раз после удачного вечера.,Wykonuję ten rytuał za każdym razem po udanym wieczorze.
12,"Современные купюры горят отвратительно, приходиться поджигать и поджигать.","Współczesne banknoty palą się okropnie, trzeba je palić i palić."
13,"Мда, англичане в ту пору оказались ""впереди планеты всей"".","Oj, Anglicy w tamtym czasie okazali się być ""na przedzie całej planety""."
14,"Четверку джентльменов, подаривших миру новую моду, тогда окрестили ""новыми битлами"": трое из них совпадали именами с ливерпульской четверкой: Джон, Джордж и Пол.","Czwórkę dżentelmenów, którzy dali światu nową modę, wtedy określono jako ""nowych Beatli"": trzech z nich miało takie same imiona jak czwórka z Liverpoolu: John, George i Paul."
15,Контрфаготиста звали Грегор.,Kontrobazista nazywał się Grigor.
16,"И те, и нынешние стремительно ворвались в послевоенный европейский мир.","I ci, i obecni dynamicznie wkroczyli do powojennego świata europejskiego."
