id,source,translation
1,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Miho teraz jest mężatką, kupiła używany dom jednorodzinny w swoim rodzinnym mieście, gdzie często spotyka się ze swoimi przyjaciółmi. Czasami zdarza mi się narzekać, bo jutro również muszę iść do pracy, ale jest to moje jedyne połączenie ze światem poza moją pracą w sklepie. To cenna okazja do nawiązania kontaktu z kobietami w moim wieku. Staram się więc możliwie często odpowiadać na zaproszenia Miho. Dziś ja, Miho, Yukari z jej małym dzieckiem oraz Satsuki, która jest mężatką ale jeszcze nie ma dzieci, spędzaliśmy czas razem u Miho z przybranymi ciastkami i herbatą."
2,そのとき、私は、初めて、世界の部品になることができたのだった。私は、今、自分が生まれたと思った。世界の正常な部品としての私が、この日、確かに誕生したのだった。,"Wtedy po raz pierwszy stałem się częścią świata. Pomyślałam, że właśnie się narodziłam. Tego dnia, na pewno, urodziłem się jako normalna część tego świata."
3,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"Przez dwa tygodnie przed otwarciem, praktykowaliśmy nieustannie w parach, zarówno z innymi pracownikami jak i z fikcyjnymi klientami. Uśmiechając się, kłaniając się, patrząc klientom w oczy, umieszczanie produktów higienicznych do papierowego woreczka, pakowanie ciepłych i zimnych produktów osobno, oraz dezynfekcja rąk alkoholem po każdym zamówieniu fast food. W celu zapoznania się z pieniędzmi w kasie znajdowały się prawdziwe banknoty, ale na paragonie było dużo napisane ""trening"", a druga osoba była kolegą z pracy w tym samym mundurze, więc wyglądało to trochę jak zabawa w sklep."
4,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。そのため、妹はいつも私についてまわっていた。,"Moja młodsza o dwa lata siostra była ""normalnym"" dzieckiem, w przeciwieństwie do mnie. To jednak nie oznaczało, że traktowała mnie z dystansem – wręcz przeciwnie, darzyła mnie uczuciem. Gdy moja młodsza siostra została zganiona przez matkę za coś normalnego, co było inaczej dla mnie, podeszłam do matki i zapytałam: ""Dlaczego jesteś zła?"" Kiedy skończyła opieprz, zawsze dziękowała mi siostra, jak gdyby to ja ją uratowałam. Często dawałem siostrze zabawki i słodycze, które mnie nie interesowały. Moja siostra zawsze chodziła za mną."
5,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。 「もっととってきたほうがいい？」 近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、「恵子！」ととがめるような声で、必死に叫んだ。 「小鳥さんはね、お墓をつくって埋めてあげよう。ほら、皆も泣いてるよ。お友達が死んじゃって寂しいね。ね、かわいそうでしょう？」 「なんで？ せっかく死んでるのに」 私の疑問に、母は絶句した。,"""Tato, uwielbiasz szaszłyki, więc dzisiaj zrobimy i zjemy."" Czy słabo go usłyszeli? Kiedy powtórzyłem to wyraźniej, mama się zdziwiła, a moje słowa zdumiały również inną matkę obok nas. Jej oczy, nozdrza i usta otworzyły się na raz ze zdumienia. Z jego miny aż chciało mi się śmiać, ale patrząc na to, jak intensywnie obserwuje moje ręce, uświadomiłam sobie że jedna nie wystarczy. ""Czy powinnam wziąć więcej?"" - rzuciła okiem na wróble, które spacerowały obok niej, kiedy w końcu jej matka wróciła do rzeczywistości i krzyknęła z desperacją: ""Keiko!"" ""Zróbmy grobik dla malutkiego ptaszka i go pochówkajmy."" Widzisz, wszyscy też płaczą. Smutno, kiedy przyjaciel umiera, prawda? ""To nie jest smutne?"" ""Dlaczego? Przecież nie żyję."" Na moje pytanie, mama była bez słowa."
6,缶コーヒーと煙草とアメリカンドックを手早くＳサイズの袋に入れる。その間、ポケットの中の小銭を鳴らしていた男性が、ふと思いついたように胸ポケットに手を入れる。その仕草から、電子マネーで支払をするのだなと咄嗟に判断する。,"Szybko pakuję do małego worka puszkę kawy, paczkę papierosów i hot-doga. Mężczyzna, który cały czas bawił się monetami w kieszeni, nagle wpadł na jakiś pomysł i włożył rękę do kieszeni na piersi. Z jego gestu natychmiast zrozumiałem, że zamierza zapłacić elektronicznie."
7,「いらっしゃいませ、おはようございます！」 軽い会釈をして、男性客が差し出した缶コーヒーを受け取る。 「あー、あと煙草の５番を一つ」 「かしこまりました」 すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。 「年齢確認のタッチをお願いします」 画面をタッチしながら、男性の目線がファーストフードが並んだショーケースにすっと移ったのを見て、指の動きを止める。「何かおとりしますか？」と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"""Witamy, dzień dobry!"" - z lekkim ukłonem przyjmuje puszkę kawy podaną przez mężczyznę. - ""Poproszę jeszcze jedne papierosy numer pięć."" - ""Rozumiem."" Szybko wyjmuję z półki Marlboro Light Menthol i skanuję je na kasie. ""Proszę o potwierdzenie wieku przez dotknięcie."" Zauważyłam, że jego wzrok niespodziewanie przeniósł się na wystawę z fast foodem, podczas gdy dotykał ekranu. Przerwałem poruszanie palcami. ""Czy podać coś do jedzenia?"" To miło zapytać, ale kiedy widzę, że gość zastanawia się, czy kupić coś, lub nie – wolę odstąpić krok i poczekać."
8,チャリ、という微かな小銭の音に反応して振り向き、レジのほうへと視線をやる。掌やポケットの中で小銭を鳴らしている人は、煙草か新聞をさっと買って帰ろうとしている人が多いので、お金の音には敏感だ。案の定、缶コーヒーを片手に持ち、もう片方の手をポケットに突っ込んだままレジに近付いている男性がいた。素早く店内を移動してレジカウンターの中に身体をすべりこませ、客を待たせないように中に立って待機する。,"Odwrocił się na dźwięk drobnych monet i spojrzał w stronę kasy. Wiele osób, które mają monety w dłoniach lub kieszeni, często planuje szybko kupić papierosa czy gazetę i wrócić do domu. Dlatego jestem bardzo wrażliwy na dźwięk pieniędzy. Rzeczywiście, był tam mężczyzna z puszką kawy w jednej ręce, a drugą schowaną w kieszeni, zbliżający się do kasy. Szybko przemieszczał się po sklepie i wślizgiwał za ladę kasy, aby nie trzymać klienta na czekaniu."
9,コンビニエンスストアは、音で満ちている。客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。店員の掛け声に、バーコードをスキャンする音。かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。全てが混ざり合い、「コンビニの音」になって、私の鼓膜にずっと触れている。,"Sklepik osiedlowy jest pełen dźwięków. Dźwięk dzwonka na wejściu dla gości, a w tle roznoszący się po sklepie głos idola promującego nowe produkty na lokalnej stacji radiowej. Do dźwięku skanowania kodów kreskowych dołączył się okrzyk sprzedawcy. Dźwięk przedmiotów wkładanych do koszyka, szmer toreb z chlebem i odgłosy obcasów chodzących po sklepie. Wszystko to się miesza, tworząc ""dźwięk sklepu"", który nieustannie dotyka moich bębenków."
10,ミホとサツキは地元で頻繁に会っているせいか、そっくりな表情と喋り方をしている。特にお菓子の食べ方が似ていて、二人ともネイルを施した手でクッキーを小さく割りながら口に運んでいる。前からそうだったろうか、と思いだそうとするが、記憶が曖昧だ。前に会ったときの二人の小さな癖や仕草は、もうどこかへ流れ出て行ってしまったのかもしれないとも思う。,"Miho i Satsuki, które często się spotykały w ich rodzinnej miejscowości, miały podobne wyrazy twarzy i sposób mówienia. W szczególności podobny sposób jedzenia słodyczy, obie z rękoma z pomalowanymi paznokciami, kruszą małe kawałki ciastek do ust. Czy zawsze tak było? Próbuję sobie przypomnieć, ale moja pamięć jest mglista. Myślę, że małe nawyki i gesty, które zauważyłem podczas naszego poprzedniego spotkania, mogły już gdzieś odpłynąć."
