id,source,translation
1,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Miho teraz jest zamężna i kupiła używany dom w swoim rodzinnym mieście, gdzie często spotykają się jej przyjaciele."
2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Jutro też mam pracę dorywczą, więc czasami jest mi to uciążliwe, ale to jedyna okazja do kontaktu z ""normalnymi trzydziestopięcioletnimi kobietami"" spoza sklepu, więc staram się jak najbardziej odzewać na zaproszenia Miko."
3,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Dzisiaj, w skład naszej grupy wchodzą Miho, Yukari z małym dzieckiem, Satuki, która jest już po ślubie ale jeszcze nie ma dzieci, oraz ja. Przynieśliśmy ciasto do domu Miho i piliśmy herbatę."
4,そのとき、私は、初めて、世界の部品になることができたのだった。,"Wtedy, po raz pierwszy, stałam się częścią tego świata."
5,私は、今、自分が生まれたと思った。,"Teraz uważam, że się właśnie narodziłem."
6,世界の正常な部品としての私が、この日、確かに誕生したのだった。,Nic innego nie mogło być moim prawdziwym przeznaczeniem na tym świecie - urodziłem się tego dnia.
7,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"W ciągu dwóch tygodni przed otwarciem, cały czas ćwiczyliśmy, w parach lub z udziałem pracowników, rozmawiając z fikcyjnymi klientami."
8,「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Patrzeć klientowi w oczy, uśmiechać się i skłonić, wkładać artykuły higieniczne do papierowej torby, oddzielać jedzenie ciepłe od zimnego i dezynfekować ręce alkoholem, gdy ktoś zamówi fast food."
9,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W kasie były prawdziwe pieniądze, żebyśmy mogli się przyzwyczaić do obsługi finansowej. Na parAGONIE duże literami było wypisane ""trening"". Obsługą była koleżanka z pracy, też w naszym uniformie. Wszystko to wyglądało jak zabawa w sklepie."
10,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja młodsza siostra, dwuletnia ode mnie, była ""normalnym"" dzieckiem. Nie unikała mnie ani niczego takiego, a wręcz odwrotnie – wyraźnie miała do mnie czułość."
11,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。,Kiedy moja siostra była karan
