id,source,translation
1,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Teraz Maiko jest zamężna i kupiła używany dom w swoim rodzinnym mieście, gdzie często spotykają się jej przyjaciele."
2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Czasami czuję się zniechęcona, ponieważ jutro też będę musiała pracować jako studentka, ale to jest jedyna okazja do nawiązania kontaktu z światem poza sklepem i cenne doświadczenie rozmawiania z innymi kobietami w moim wieku, więc staram się jak najczęściej odpowiadać na zaproszenia Miho."
3,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Dzisiaj również, w skład grupy wchodziliśmy ja, Mihoko, Yukari z małym dzieckiem i Satuki, która mimo że jest już po ślubie nie ma jeszcze dzieci. Spotkaliśmy się u Mihoko w domu i zajadaliśmy się ciastem pitnym z herbatą."
4,そのとき、私は、初めて、世界の部品になることができたのだった。,Wtedy po raz pierwszy stałem się częścią tego świata.
5,私は、今、自分が生まれたと思った。,"Teraz myślę, że się urodziłem."
6,世界の正常な部品としての私が、この日、確かに誕生したのだった。,W tym dniu bez wątpienia urodziłem się jako normalna część świata.
7,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"Przez dwie kolejne tygodnie, towarzysząc sobie lub obsługując naszych pracowników, nieustannie ćwiczyliśmy w kierunku fikcyjnych klientów aż do otwarcia."
8,「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Patrzenie w oczy i uśmiech na powitanie dla ""gości"", umieszczanie produktów higienicznych w papierowym worku, oddzielanie jedzenia ciepłego od zimnego i dezynfekowanie rąk alkoholem po zamówieniu fast fooda."
9,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W kasie faktycznie znajdowały się prawdziwe pieniądze, aby przyzwyczaić się do obsługi gotówki. Na paragonie widniało duże słowo ""trening"", a przeciwnikiem był kolega z pracy w takim samym uniformie. Wszystko to miało jakby charakter zabawy w robienie zakupów."
10,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja dwuletnia młodsza siostra była ""normalnym"" dzieckiem, ale nie unikała mnie i raczej mnie podziwiała."
11,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。,"Gdy moja siostra była karana przez matkę za normalne rzeczy, podchodziłem do niej i pytałem: ""Dlaczego się gniewasz?"""
12,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。,"Po zakończeniu kazania pomyślała pewnie, że jestem chroniony przez matkę, bo zawsze mówiła mi ""dziękuję""."
13,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。,"Miałam niewielkie zainteresowanie słodyczami i zabawkami, więc często je dawałam mojej siostrze."
14,そのため、妹はいつも私についてまわっていた。,Dlatego moja siostra zawsze chodziła za mną.
15,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Tato, lubisz szaszłyki, więc dzisiaj je upieczemy i zjemy"" - gdy ponowiłem te słowa wyraźnie, matka zaniemówiła i mama innego dziecka obok nas również była zdziwiona; ich oczy, nozdrza i usta otworzyły się jednocześnie."
16,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,"Zacząłem się śmiać, widząc jego dziwną minę, ale kiedy zobaczyłem, że patrzy na moje ręce skupionym wzrokiem, pomyślałem sobie: ""Ach tak, jedno ptaszysko to za mało""."
