id,source,translation
1,"Alles zu vergessen, ist gewiss schlimm.",すべてを忘れることは、確かに悪いことです。
2,"Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt.",さらに悪いことに、何も忘れないことは、全ての知識が忘却によって初めて生み出されるからです。
3,"Wenn alles unterschiedslos gespeichert ist, wie auf den elektrische Energie verbrauchenden Datenspeichern, verliert es seine Bedeutung und wird zu einer ungeordneten Ansammlung unbrauchbarer Information.",すべてが電力を消費するデータストレージのように indiscriminately 保存されている場合、その意味を失い、使用できない情報の無秩序な蓄積になります。
4,"Ein Gedächtnis, das alles bewahrte, bewahrte im Grunde nichts.",すべてを保持する記憶は、本質的に何も保持していないのです。
5,"Jene Kalifornierin, die sich ohne Mnemotechnik jeden einzelnen Tag seit dem 5.",そのカリフォルニアの女性は、記憶術を使わずに5日以降の毎日を覚えています。
6,"Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen — eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen: ""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen"".",1980年2月を思い起こすことができる人々は、継続的に彼らを襲う記憶のエコールームに囚われています - それはアッティカの将軍テミストクレスの再来であり、彼は自分の故郷の市民を一人ずつ名前で呼び出すことができ、記憶術家シモニデスに対して忘却する技術を学びたいと伝えました。「私が覚えたくないものまでも保持してしまいます。しかし、本当に忘れたいものは忘れることが出来ません」
7,"Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen.",しかし、忘却の技術は不可能なことで、全てのサインが存在を示しているからです、それらが欠席を指していても。
8,"Beinahe jeden, den im Römischen Reich der Bann der damnatio memoriae traf, behaupten die Enzyklopädien mit Namen zu kennen.",ローマ帝国でdamnatio memoriae（記憶の破棄）の制裁を受けたほぼ全ての人物について、百科事典は名前を挙げて主張しています。
9,"Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz.",自殺は、未来の不確実性に打ち勝つ最も過激な手段として見えるかもしれませんが、それは短縮された生存の代価としてです。
10,"Es wird berichtet, dass zu den Geschenken jener indischen Gesandtschaft, die Augustus einst auf der Insel Samos empfing, nicht nur ein Tiger und ein armloser Jüngling, der seine Füße wie Hände zu benutzen wusste, gehörten, sondern auch ein Mann namens Zarmaros aus der Kaste der Brahmanen, der sein Leben selbst zu beenden gedachte, gerade weil es so verlaufen sei wie gewünscht.",それは、サモス島でアウグストゥスにインドの使節団から贈られたものに、虎や両腕がなく足で手のように動かせる少年だけではなく、彼自身が自分の生活を終わらせるつもりだったブラーフマナ階級出身のザルマロスという男も含まれていた、と伝えられています。それはまさしく彼が願った通りに事が進んだからです。
11,"Um sicherzustellen, dass ihm nicht doch noch etwas Unvorhergesehenes zustieß, sprang er in Athen lachend, nackt und gesalbt ins Feuer, verbrannte zweifellos qualvoll bei lebendigem Leib und ging mit der Inszenierung seines selbstbestimmten Todes in die Geschichte ein, wenn auch nur als kuriose Anekdote in einem Band jener einst achtzig Bücher umfassenden Römischen Geschichte des Cassius Dio, dessen Inhalt zufällig überliefert wurde.",彼が突然何か予期しない事態に遭遇しないように、彼はアテネで笑顔で、裸で、油を塗って火の中へ飛び込みました。生きたまま疑いなく苦しみながら焼け死にし、自己決定的な死の演出と共に歴史の中に名を刻みました。それはカッシウス・ディオのローマ史書物80冊分から偶然伝えられた奇妙な逸話としてだけですが。
12,"Letztlich ist alles, was noch da ist, schlichtweg das, was übrig geblieben ist.",結局、まだ残っているすべては、単に残ったものなのです。
13,"Am Leben zu sein bedeutet, Verluste zu erfahren.",生きるということは、喪失を経験することを意味します。
14,"Die Frage, was wohl werden wird, dürfte kaum jünger sein als die Menschheit selbst, besteht doch eine so unabdingbare wie beunruhigende Eigenschaft der Zukunft darin, dass sie sich der Vorhersehbarkeit entzieht und damit auch Zeitpunkt und Umstände des Todes im Dunkeln lässt.",何が起こるのかという疑問は、おそらく人類自体ほど古いでしょう。なぜなら、未来が予見可能性から逃れてしまい、それによって死の時期や状況を闇に包んでしまうという特性は、避けられないものであり、同時に不安を感じさせるものだからです。
15,"Wer kennt nicht den Abwehrzauber des süßbittren Vorausleidens, den fatalen Drang, das Befürchtete durch gedankliche Vorwegnahme verhindern zu wollen?",誰もが思案することで危惧することを防ごうとする、甘くて苦い予感の守護魔法、致命的な衝動を知らないわけはありませんか？
16,"Man ahnt die Verheerungen voraus, imaginiert mögliche Katastrophen und wähnt sich so vor bösen Überraschungen gefeit.",人々は予想される破壊を予知し、可能な災害を想像し、悪い驚きから身を守っていると思い込んでいます。
17,"In der Antike versprachen die Träume Trost, sagten die Griechen ihnen doch nach, sie verhießen, Orakeln gleich, das Kommende und nähmen somit der Zukunft zwar nicht das Unabänderliche, wohl aber den Schrecken des Unerwarteten.",古代では、夢は慰めを約束していた。ギリシャ人はそれを予言し、未来の出来事を予告するようなオラクルとして、未来の不変性を取り去ることはできないかもしれませんが、予期しない恐怖を和らげるとされていた。
18,Nicht wenige nehmen sich aus Angst vor dem Tod das Leben.,死の恐怖から逃れるために自ら命を絶つ人も少なくありません。
19,"Vielfältig sind die Strategien, Vergangenes festzuhalten und dem Vergessen Einhalt zu gebieten.",過去を維持し、忘却を止めるための戦略は多様です。
20,"Traut man der Überlieferung, steht am Anfang unserer Geschichtsschreibung eine Reihe vernichtender Kriege zwischen Persern und Griechen und am Beginn der heute beinahe vergessenen Gedächtniskunst ein Unglück mit vielen Toten:",伝承を信じるならば、我々の歴史記述の始まりにはペルシャ人とギリシア人の間の壊滅的な戦争が立つ、そしてほとんど忘れ去られた記憶術の始まりには多くの犠牲者が伴う災難があります：
21,"Es war in Thessalien, wo im frühen vorchristlichen 5.",それは紀元前5世紀の早い時期、テッサリアでした。
22,"Jahrhundert ein einstürzendes Haus eine ganze Festtagsgesellschaft unter sich begrub und es dem einzigen Uberlebenden, dem Dichter Simonides von Keos, dank seines geschulten Gedächtnisses gelang, das zerstörte Gebäude im Geiste erneut zu betreten und die Sitzordnung der Gäste aufzurufen, woraufhin sich die von den Trümmern entstellten Leichen identifizieren ließen.",その世紀に、崩れ落ちる家が祭りの一団を埋め、一人だけの生存者であったケオスの詩人シモニデスが訓練された記憶力を駆使して精神的に壊れた建物に再び入り、客たちの座席配置を呼び出すことができました。それによって、瓦礫から変形した死体を特定することができました。
23,"Es gehört zu den zahlreichen Paradoxien, die dem Entweder-oder von Tod und Leben innewohnen, dass, indem der Verstorbene als etwas unwiederbringlich Verlorenes benannt wird, sich die Trauer über seinen Verlust zugleich verdoppelt und halbiert, wohingegen das im Unklaren liegende Schicksal eines Vermissten oder Verschollenen die Angehörigen in einem diffusen Alptraum aus banger Hoffnung und verwehrter Trauer gefangenhält, der sowohl Aufarbeitung als auch Weiterleben verhindert.",死と生の二律背反から生じる数多くの逆説の一つが、亡くなった者は失い得ぬものとされ、その喪失への悲嘆が同時に倍増し半減することであり、一方で行方不明者や遭難者の不確定な運命は親族を罰あたりな希望と阻まれた悲嘆の混乱した悪夢に閉じ込めてしまい、それは彼らが過去を処理しまた生き続けることを防ぐ。
24,"Die Zäsur des Todes ist der Ausgangspunkt von Erbe und Erinnerung und die Totenklage die Quelle jeder Kultur, mit der man die nun klaffende Leerstelle, die plötzliche Stille mit Gesängen, Gebeten und Geschichten füllt, in denen das Abwesende noch einmal verlebendigt wird.",死の中断は遺産と記憶の出発点であり、死者への悲嘆は、すぐに広がる空虚さを歌や祈りや物語で満たし、不在が再び生き生きと描かれる文化の源です。
25,"Wie eine Hohlform lässt die Erfahrung des Verlusts die Umrisse dessen, was zu beklagen ist, hervortreten, und nicht selten verwandelt es sich im verklärenden Licht der Trauer zu einem Objekt der Begierde, oder wie es ein Heidelberger Professor für Zoologie im Vorwort eines Bändchens der Neuen Brehm-Bücherei formuliert: ""Es scheint zu den rational kaum fassbaren Eigenschaften des westlichen Menschen zu gehören, dass er Verlorenes höher bewertet als noch Bestehendes, anders ist die merkwürdige Faszination nicht zu erklären, die seither vom Beutelwolf ausgeht.""",損失の経験は、嘆き悲しむべきものの輪郭を浮かび上がらせるような鋳型となり、しばしばそれは喪失感の甘美な光に包まれて欲望の対象に変貌します。あるいは、新たなブレーム図書館シリーズの冒頭でハイデルベルク大学動物学教授が表現しているように、「西洋人が理解できない固有性質として、彼は存在するものより失ったものを高く評価する傾向があります。それ以外に説明できないその興味深い魅力が袋狼から放たれています。」
