id,source,translation
1,"Беспредельный морской шум не прекращался ни на минуту. Он набегал длинными волнами, то усиливаясь, то затихая. И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи. Но он не уходил, он был здесь. Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа. Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом. Изредка из тьмы, из города, доносились ружейные выстрелы. После каждого выстрела долго лаяли собаки. Потом далеко в море мелькнул тусклый огонь и погас.","The endless sea noise did not cease for a minute. It surged in long waves, intensifying and then dying down. And the wind would start to rustle in the bare trees, then fall silent, just as I did while listening to the flow of the night. But he did not leave, he was here. I knew this by the smell of wet pebbles and by the barely perceptible tremor of a solitary plane tree leaf. I had noticed this stubborn grey leaf during the day, but now at night, it seemed to me a small living creature, my only wakeful friend. From time to time, gunshots could be heard from the darkness, from the city. After each shot, the dogs barked for a long time. Then a faint light flashed far out at sea and went out."
2,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств. Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца. Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени. Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата. По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.","He made us look at these things more attentively and for longer than we usually do, discovering many qualities in them that had previously gone unnoticed. Thus, in the porous yellow stone there were many small seashells firmly embedded into it, on the thistle bushes there were still a few flowers left, they sat on straight sturdy stems looking like soaked and wrinkled golden butterflies, patiently waiting for the sun. But it rarely appeared through the fog as a blurred white spot, providing neither heat nor shade. Under the solitary old plane tree with lemon spots on its trunk, leaves lay scattered around, as if cut out of dull green velvet. Through the iron gate ants were running in a line, carrying into their underground granaries the last provisions for winter, while a small timid toad lived under the anchor chain."
3,"Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать. Я вышел с дядей Илько на берег. Река ревела. Вода шла через греблю холодным водопадом. Ночь стояла поздняя, глухая, ни единой звезды не было над головой. В лицо дуло дикой свежестью разлива, оттаявшей земли. И все время кто-то махал на том берегу фонарем и кричал, но слов за шумом реки нельзя было разобрать.","During the night, someone on the other side of the river began to wave a lantern and shout at length. I went out with my uncle. Ilko to the shore. The river roared. Water flowed through the dam in a cold waterfall. The night was late and silent, not a single star was overhead. The fresh wildness of the spilled river and thawed earth was blowing in my face. All the time, someone on the other shore was waving a lantern and shouting, but their words couldn't be heard over the noise of the river."
4,"Когда гроб вынесли на крыльцо, я увидел на том берегу реки старую коляску, распряженных и привязанных к ней лошадей и маленькую женщину в черном маму. Она стояла неподвижно на берегу. Она видела оттуда, как выносили отца. Потом она опустилась на колени и упала головой на песок.","When the coffin was carried out to the porch, I saw on the far side of the river an old carriage, horses unharnessed and tied to it, and a small woman in black - mother. She stood motionless on the shore. From there, she saw her father being taken away. Then she knelt down and fell with her head onto the sand."
5,"Нет, отвечал дед. Это верно, не виделись. Остап начал слепнуть. Надумал он дойти тогда до Петербурга, чтобы увидеть ту женщину, пока он еще не совсем ослеп. Дошел он до царской столицы и узнал, что она умерла, мабудь, не выдержала разлуки. Нашел Остап на кладбище ее могилу из белого мрамора-камня, глянул, и сердце у него сорвалось на камне лежала его железная роза. Завещала та женщина положить розу на ее могилу. Навеки. А Остап начал лирничать и, мабудь, так и помер на шляху или на базаре под возом. Аминь!","No, grandfather replied. That's true, we haven't seen each other. Ostap began to go blind. He then decided to go as far as Petersburg to see that woman before he went completely blind. He reached the royal capital and learned that she had died, presumably unable to bear the separation. Ostap found her white marble tombstone in the cemetery, looked at it, and his heart broke on the stone lay his iron rose. That woman had bequeathed to have a rose placed on her grave. Forever. And Ostap began to wax lyrical and probably died on the road or in the market under a wagon. Amen!"
6,"На том берегу подымался по скату заповедный лес графини Браницкой. Солнце не могло прорваться сквозь мощную зелень этого леса. Лишь изредка одинокий луч прорезал наискось чащу и открывал перед нами потрясающую силу растительности. Как сверкающие пылинки, влетали в этот луч маленькие птицы. Они с писком гонялись друг за другом и ныряли в листву, будто в зеленую воду.","On the other bank, Countess Branitsky's protected forest was climbing up the slope. The sun could not break through the dense greenery of this forest. Only occasionally would a solitary beam cut diagonally through the thickets, revealing to us the stunning power of vegetation. Tiny birds flew into this beam of light like sparkling specks of dust. They were squealing, chasing each other and diving into the foliage as if it was green water."
7,"Я набирал в ведро воды из пруда, бросал в эту воду траву и ждал. Красные поплавки неподвижно стояли в воде. Потом один из них начинал вздрагивать, пускал легкие круги, внезапно нырял или быстро плыл в сторону. Отец подсекал, леска натягивалась, ореховое удилище сгибалось в дугу, и в тумане над прудом начиналось бульканье, плеск, возня. Вода разбегалась, качая кувшинки, торопливо удирали во все стороны жуки-водомеры, и наконец в загадочной глубине появлялся бьющийся золотой блеск. Нельзя было разобрать, что это такое, пока отец не выволакивал на примятую траву тяжелого карася. Он лежал на боку, отдувался и шевелил плавниками. От его чешуи шел удивительный запах подводного царства.","I filled a bucket with water from the pond, threw some grass into it, and waited. The red floats stood motionless in the water. Then one of them would start to quiver, make light circles, suddenly dive or quickly swim to the side. Father made a strike, the fishing line tightened, the walnut rod bent into an arc, and over the misty pond the splashing and fuss started. The water rippled, rocking the lily pads, water beetles hurriedly scurried in all directions, and finally a flickering gold shimmer appeared from the mysterious depths. It was impossible to figure out what it was until my father dragged a heavy crucian carp onto the trampled grass. He lay on his side, panting and moving his fins. An amazing scent of the underwater kingdom came from his scales."
8,"Яша считал про себя секунды. Мы знали, что от Стурдзовского переулка до санатория Ландесмана было семь минут ходьбы. В санатории за высокой оградой и железными воротами мы всегда чувствовали себя в полной безопасности. Особенно если не зажигали коптилок. Когда мы проходили около подворотни, Яша споткнулся. Потом, когда мы вспоминали о происшествии в Стурдзовском переулке, Яша утверждал, что всегда, если хочешь сделать что-нибудь наилучшим образом, то обязательно сорвешься на пустяковине. Я же про себя думал, что всему виной была Яшина невыносимая походка. Но я молчал, чтобы не огорчать Яшу.","Yasha was counting seconds to himself. We knew that it took seven minutes to walk from Sturdza Lane to the Landesman Sanatorium. In the sanatorium behind a high fence and iron gates, we always felt completely safe. Especially if incense was not lit. When we were passing by the gateway, Yasha tripped. Later, when we reminisced about the incident in Sturdza Lane, Yasha insisted that every time you aim to do something in the best possible way, you inevitably mess up on some trifle. But as for me, I thought that Yasha's unbearable gait was to blame for everything. But I remained silent so as not to upset Yasha."
9,"Мы крадучись пошли по переулку. Я сказал, что надо идти по той стороне, где подворотня, не доходя до нее остановиться, хорошо прислушаться, а затем быстро и беззвучно проскочить мимо подворотни. Расчет, по-моему, был математически точен. Если в подворотне есть люди, то они могут нас и не заметить. Если же мы будем идти по противоположной от подворотни стороне, то нас могут заметить еще издали. Я высчитал, что в последнем случае мы будем идти против опасной подворотни, или, вернее, будем на виду у людей, спрятавшихся в подворотне, в пять раз дольше. И, следовательно, будет в пять раз больше шансов, что нас заметят.","We sneaked down the alley. I said that we need to go on the side where the gate is, not reaching it, stop and listen carefully, then quickly and silently dash past the gate. The calculation, in my opinion, was mathematically accurate. If there are people in the alley, they might not notice us. If we were to walk on the opposite side from the alley, we could be noticed from far away. I calculated that in the latter case we would be walking past the dangerous alleyway, or rather, be in sight of people who were hiding in the alleyway, five times longer. And therefore, there will be five times more chances that we will be noticed."
10,"Утром я просыпался от жаркого солнца, бившего в белые стены. Красные и желтые мальвы-монашки покачивались за открытым окном. Вместе с ними заглядывал в комнату цветок настурции; в нем сидела мохнатая пчела. Я, замерев, следил, как она сердито пятится и выбирается из тесного цветка. По потолку без конца бежали светлые струи, легкие волны отражения реки. Река шумела тут же, рядом.","In the morning, I was woken up by the hot sun shining on the white walls. Red and yellow hollyhocks swayed behind the open window. A nasturtium flower was peeking into the room with them; a furry bee sat in it. Frozen, I watched as she angrily retreated and extracted herself from the tight flower. Bright streams ran endlessly across the ceiling, light waves reflecting from the river. The river was roaring right there, nearby."
