id,source,translation
1,"Patrzy na rodzinę, same dziewczynki, matka z dzieckiem przy piersi zsiada właśnie niezgrabnie z fury i furman pogania ją, bo fura zaraz musi wracać po innych na przedmieścia. Spada tobołek, który miała na plecach, i wysypuje się stamtąd trochę zszarzałych szmat i pojedynczy sznurek korali, drobnych, pociemniałych. Kobieta zbiera je zawstydzona, jakby właśnie oczom świata odsłoniła swoje najniedostępniejsze sekrety. Deymowa mija ją i nagle podbiega do niej chłopczyk, może sześcio-, siedmioletni, i patrząc na nią uśmiechniętymi oczami, bardzo z siebie zadowolony, mówi: ""Niech będzie pochwalony Jezus Chrystus!"". Ona zaś odpowiada automatycznie, ale i uroczyście: ""Na wieki wieków, amen"". I już chwyta się za serce i łzy nabiegają jej do oczu. Kuca przy chłopcu, chwyta go za nadgarstki, a ten patrzy jej prosto w oczy pełne łez, dalej uśmiechnięty, mały łobuziak.","She looks at the family, all girls, the mother with a baby at her breast just clumsily getting off the wagon as the driver hurries her along because the wagon must soon return for others in the suburbs. A bundle she had on her back falls, spilling some greyish rags and a single string of beads, small and darkened. The woman picks them up embarrassedly as if she has just revealed to the world her most inaccessible secrets. Deymowa passes by her and suddenly a little boy runs up to her, about six or seven years old. Looking at her with smile-filled eyes very content with himself says: ""Praised be Jesus Christ"". She responds automatically but also solemnly: ""Forever and ever, amen."" And now she puts a hand over heart and tears well up in her eyes. She squats down next to the boy, grabs him by his wrists; he keeps looking straight into eyes full of tears while continuing to smile like a little rascal."
2,"Wyrastają przed nimi pierwsze zabudowania, nagle, bez ostrzeżenia. Widać mgła zmienia poczucie odległości, bo zaskoczona tym wydaje się sama Kaśka. Nagle skacze, szarpiąc dyszlem, i gdyby nie stanowcza reakcja Roszka i jego bat, wywróciłaby kolaskę. Może Kaśkę wystraszyły iskry, które sypią się z paleniska, albo niepokój koni czekających na swoją kolej do podkuwania...","The first buildings emerge in front of them suddenly, without warning. The fog seems to alter their perception of distance because Kaśka herself appears surprised. Suddenly, she jumps, jerking the shaft and if it weren't for Roszek's determined reaction and his whip, she would have overturned the carriage. Perhaps Kaśka was frightened by the sparks flying from the forge or by the unease of horses waiting their turn to be shoed..."
3,"Wszędzie czuć mdły zapach słodu, przenika każdy towar wystawiony do sprzedaży. Można się nim najeść jak chlebem. Na przedmieściach Rohatyna, w Babińcach, jest kilka małych browarów, to stamtąd roznosi się na całą okolicę ten sycący zapach. Wiele kramików sprzedaje tu piwo, a lepsze sklepy mają na składzie i gorzałkę, i miód pitny, głównie trójniak. Skład żydowskiego kupca Wakszula oferuje wino, prawdziwego węgrzyna i prawdziwe reńskie, i takie trochę kwaskowate, które przywożą tu aż z Wołoszczyzny.","The sickly smell of malt is everywhere, permeating every item for sale. You could fill up on it like bread. On the outskirts of Rohatyn, in Babińce, there are a few small breweries that spread this saturating scent throughout the area. Many stalls sell beer here and better shops also stock liquor and mead, mainly mixed with water. The store of the Jewish merchant Wakszul offers wine, real Hungarian and Rhenish wines as well as a slightly sour variety brought all the way from Wallachia."
4,"Najwięcej do powiedzenia byłoby o rodzinie Wołowskich, jako że rozrosła się do ogromnych rozmiarów. Niemal wszystkie gałęzie tego rodu zostały nobilitowane, jedne były herbu Bawół, drugie herbu Na Kaskach. Niewątpliwie wielką karierę zrobił Franciszek, syn Izaaka Wołowskiego, tego samego, którego ksiądz Chmielowski nazwał Jeremiaszem. Urodził się w 1786 roku w Brünn i wychowany w Offenbachu, stał się jednym z najlepszych prawników i znawcą prawa tamtego czasu. Co ciekawe gdy w sejmie pojawił się wniosek o nadanie polskiego obywatelstwa Żydom, Franciszek jako poseł w swojej porywającej przemowie przekonywał, że jeszcze nie czas na taki krok. Najpierw naród polski musi wywalczyć sobie niepodległość, a potem będzie pora na reformy społeczne.","The most could be said about the Wołowski family, as it has grown to immense proportions. Almost all branches of this family were ennobled, some under the Bawół coat of arms, others under the Na Kaskach coat of arms. Undoubtedly a great career was made by Franciszek, son of Isaac Wołowski, the same one whom priest Chmielowski referred to as Jeremiah. Born in 1786 in Brünn and raised in Offenbach, he became one of the best lawyers and experts on law at that time. Interestingly, when a proposal came before parliament to grant Polish citizenship to Jews, Franciszek as an MP argued in his stirring speech that it wasn’t yet time for such a step. First, the Polish nation had to fight for its independence and then there would be time for social reforms."
5,"Wszyscy offenbachscy neofici zostali pochowani na miejskim cmentarzu, który po latach zaczął jednak przeszkadzać planom rozbudowy miasta i został w 1866 roku zlikwidowany. Kości pogrzebanych tam ludzi zebrano i z szacunkiem pochowano w innym miejscu. Przy tej okazji została wyjęta z grobu czaszka Jakuba Franka i, opisana starannie jako ""czaszka żydowskiego patryarchy"", znalazła się w rękach historiografa miasta Offenbach. Wiele lat potem, w nieznanych okolicznościach, trafiła do Berlina, gdzie poddana została szczegółowym pomiarom i badaniom i uznana za przykład żydowskiej niższości rasowej. Po wojnie przepadła bez wieści może zniszczona wojenną zawieruchą, rozsypała się w pył, albo leży jeszcze w podziemnych magazynach jakiegoś muzeum.","All the Offenbach neophytes were buried in the municipal cemetery, which however began to interfere with city expansion plans and was shut down in 1866. The remains of the people buried there were collected and respectfully relocated. On this occasion, Jakub Frank's skull was exhumed from his grave, carefully labeled as that of a ""Jewish patriarch,"" and fell into the hands of the city historian of Offenbach. Many years later, under unknown circumstances, it ended up in Berlin where it underwent detailed measurements and studies that deemed it an example of Jewish racial inferiority. After the war, it disappeared without a trace; possibly destroyed by wartime upheaval or disintegrated to dust; or perhaps still lying forgotten in storage at some museum."
6,"Po śmierci Jakuba nastał dla mnie czas wielkiego spokoju. Głównym moim zajęciem stało się studiowanie merkawy, do tego doszły jeszcze nasze rozmowy z Jeruchimem Dembowskim, jako że zamieszkaliśmy w jednym pokoju, przez co zbliżyliśmy się do siebie. Jemu, Jeruchimowi, powiedziałem też o Chai Szor że była jedyną kobietą, którą mogłem pokochać i kochałem od tego pięknego momentu, kiedym ją dostał na jedną noc, wtedy gdym przyjechał z wieściami o Jakubie do Rohatyna. Lecz przede wszystkim kochałem Jakuba.","After Jakub's death, a time of great peace began for me. Studying the Merkava became my main occupation, and our conversations with Jeruchim Dembowski were added to this, as we lived in one room together, which brought us closer to each other. I also told Jeruchim about Chai Szor who was the only woman I could love and did love from that beautiful moment when I had her for one night when I came with news about Jakub to Rohatyn. But above all, I loved Jakub."
7,"Byli w Iwaniu od kwietnia. Gdyby nie dobrzy iwańscy ludzie, chyba pomarliby z głodu. Iwanie uratowało im życie i zdrowie, Bejla czuje się teraz lepiej i już nie kaszle tak bardzo. Srol wierzy, że kiedy już się ochrzczą, będzie im tak samo dobrze jak chrześcijanom. Dostaną kawałek ziemi, Bejla będzie miała w ogrodzie warzywa, a on, Srol, będzie tkał kilimy, bo to umie robić dobrze. Na starość, gdy powydaje dziewczynki za mąż, one wezmą ich do siebie. To wszystkie jego marzenia.","They had been in Iwanie since April. If it hadn't been for the good people of Iwanie, they would have probably starved to death. Iwanie saved their life and health, Bejla is now feeling better and she isn't coughing as much. Srol believes that once they get baptized, things will be as well for them as they are for the Christians. They'll have a piece of land, Bejla will grow vegetables in their garden, and he, Srol, will weave kilims because he's good at it. When they get old and their daughters are married off, the daughters will take them in. These all are his dreams."
8,"Patrzcież, dobrodzieju, Kaśka nie chce iść mówi ponuro Roszko, gdy kolaska się zatrzymuje. Roszko schodzi z kozła i żegna się kilka razy zamaszyście. Potem nachyla się i zagląda w mgłę, jakby patrzył do wody. Spod jego odświętnego czerwonego, acz trochę już wypłowiałego kubraka wychodzi koszula. Nie wiem, gdzie jechać mówi. Jak to nie wiesz? Przecież już jesteśmy na rohatyńskim gościńcu mówi zdziwiony ksiądz. A jednak! Wysiada z kolaski i podąża za sługą, obchodzą bezradnie powóz, wytężając oczy w biel. Wydaje im się, że coś widzą, ale oczy, które nie mogą zaczepić się na niczym, zaczynają stroić sobie żarty. Że też im się coś podobnego przydarzyło! Przecież to tak, jakby zgubić się we własnej kieszeni. Cicho! mówi nagle ksiądz i podnosi palec do góry, nadsłuchując. I rzeczywiście, gdzieś z lewej strony, z kłębów mgły, dochodzi słaby szum wody. Jedźmy za tym szumem. To woda płynie decyduje ksiądz.","""Look here, good sir, Kaśka doesn't want to go,"" Roszko grumbles as the sled stops. Roszko gets down from the driver's seat and waves a few vigorous farewells. Then he leans over and peers into the fog as if looking into water. Underneath his festive red, slightly faded greatcoat peeks out a shirt. ""I don't know where to go,"" he says. ""What do you mean you don't know? We're already on the Rohatyn road,"" says the priest, surprised. Yet we are! He steps out of the sleigh and follows his servant, circling helplessly around it, straining their eyes into the white nothingness. They seem to see something but their eyes start playing tricks on when they can't focus on anything tangible. That something like this would happen to them! It's like getting lost in your own pocket.”Quiet!"" Suddenly says the priest raising his finger with an intent listening look on his face . And indeed from somewhere to left in clouds of fog a faint sound of running water can be heard.“Let’s follow that sound.That is flowing water."" decides Priest promptly"
9,"Wkrótce ksiądz rozluźnia się w kolasce, wyciąga przed siebie nogi i pozwala oczom wędrować po morzu mgły. Natychmiast popada w podróżne zamyślenie, bo człowiekowi najlepiej myśli się w ruchu. Wolno, z ociąganiem ożywa mechanizm jego umysłu, zaskakują tryby i przekładki, wprawiając w ruch koła napędowe, zupełnie jak w zegarze, który stoi u niego na plebanii w sieni, zakupiony we Lwowie; słono za niego zapłacił. Za chwilę odezwie się bim-bom. Czy aby świat nie wziął się z takiej mgły, zaczyna się zastanawiać. Przecież historyk żydowski Józef Flawiusz utrzymuje, że świat został stworzony jesienią, podczas aequinoctium jesiennego. Można tak sądzić, bo przecież w raju były owoce; skoro jabłko wisiało na drzewie, musiała to być jesień... Jest w tym jakaś racja. Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument? Czyż wszechmocny Bóg takich marnych fruktów nie mógłby stworzyć ekstra, w jakiejkolwiek porze roku?","Soon the priest relaxes in his carriage, stretches out his legs, and lets his eyes wander over the sea of fog. He immediately falls into a thoughtful train of thought during this journey because a person's best thinking occurs while moving. Slowly, hesitantly, the gears and cogs of his mind start turning, driving the wheels just like in the clock he has on a wall in his presbytery back home which was bought from Lviv; he paid dearly for it. In a moment it will chime bim-bom. He begins to wonder if perhaps the world didn’t come from such fog. After all, Jewish historian Josephus Flavius maintains that the world was created in autumn during an autumnal equinox. Such reasoning is plausible because there were fruits in paradise; since an apple was hanging on tree then surely it had been autumn... There is some truth to this logic. But another idea quickly comes to mind: What kind of argument is this? Couldn't omniscient God create such pitiful fruit out-of-season at any time of year?"
10,"Gdy dojeżdżają do głównej drogi prowadzącej do Rohatyna, włączają się w strumień pieszych, konnych i wozów wszelakiego rodzaju, które wyłaniają się z mgły, niby figurki z chleba lepione na Boże Narodzenie. Jest środa, targ w Rohatynie, jadą chłopskie wozy obładowane workami z ziarnem, klatkami z drobiem, wszelakimi płodami rolnymi. Między nimi żwawym krokiem maszerują handlarze z każdym możliwym towarem ich kramiki, sprytnie teraz złożone, dają się nieść na plecach niczym koromysła, a za chwilę staną się stołami pełnymi barwnych materiałów, drewnianych zabawek, jajek skupowanych po wsiach za jedną czwartą ceny... Chłopi prowadzą też kozy i krowy na sprzedaż zwierzęta, przerażone zgiełkiem, zapierają się w kałużach. Mija ich rozpędzona fura przykryta dziurawą plandeką, pełna hałaśliwych Żydów, którzy ściągają na jarmark do Rohatyna z całej okolicy, a za nimi przedziera się bogata kareta, której we mgle i tłoku na drodze trudno zachować dostojeństwo jasne lakierowane drzwiczki są czarne od błota, a mina stangreta w niebieskiej pelerynie wydaje się nietęga, nie spodziewał się widać takiego zamieszania i teraz rozpaczliwie szuka wzrokiem okazji, żeby zjechać z tej diabelskiej drogi.","As they reach the main road leading to Rohatyn, they join the stream of pedestrians, horse riders and wagons of all kinds emerging from the fog, like figurines molded from bread for Christmas. It's a Wednesday, market day in Rohatyn. Farmers' wagons loaded with sacks of grain, poultry in cages and other farm produce are making their way there. In-between them march traders with every conceivable sort of merchandise - their stalls cunningly collapsed just now for portability and borne on their backs like yokes. Soon enough these will be set up as tables displaying colourful fabrics, wooden toys or eggs bought in villages at a quarter of the price... The farmers are also leading goats and cows for sale; terrified by all the noise these animals dig in their heels at puddles along the way. Then a speeding cart overtakes them covered with a threadbare tarpaulin filled noisy Jews who've come to trade at Rohatyn market from all over the place; following them is an ostentatious carriage having trouble maintaining its dignity amidst this foggy confusion - its glistening lacquered doors now muddy black while its coachman dressed in blue cloak looks reluctant; he obviously did not anticipate such turmoil and now frantically scans his area looking to escape this hellish road."
