lang,system,score
cs-pl,gpt3,0.8514
cs-pl,gpt4,0.8449
cs-pl,llama,0.7423
de-en,gpt3,0.8399
de-en,gpt4,0.8196
de-en,llama,0.8109
de-en_news,gpt3,0.8782
de-en_news,gpt4,0.8854
de-en_news,llama,0.8643
de-ja,gpt3,0.8576
de-ja,gpt4,0.8687
de-ja,llama,0.7636
de-pl,gpt3,0.8090
de-pl,gpt4,0.7889
de-pl,llama,0.7158
en-de_news,gpt3,0.8587
en-de_news,gpt4,0.8702
en-de_news,llama,0.8207
en-ja,gpt3,0.8275
en-ja,gpt4,0.8357
en-ja,llama,0.8163
en-pl,gpt3,0.7830
en-pl,gpt4,0.7755
en-pl,llama,0.7236
fr-en,gpt3,0.7891
fr-en,gpt4,0.7907
fr-en,llama,0.7902
fr-ja,gpt3,0.8203
fr-ja,gpt4,0.7981
fr-ja,llama,0.7423
fr-pl,gpt3,0.4775
fr-pl,gpt4,0.4861
fr-pl,llama,0.4409
ja-en,gpt3,0.8079
ja-en,gpt4,0.8020
ja-en,llama,0.7816
ja-pl,gpt3,0.8594
ja-pl,gpt4,0.8165
ja-pl,llama,0.7394
pl-en,gpt3,0.8015
pl-en,gpt4,0.7889
pl-en,llama,0.7842
pl-ja,gpt3,0.7516
pl-ja,gpt4,0.7355
pl-ja,llama,0.5904
ru-en,gpt3,0.7697
ru-en,gpt4,0.7647
ru-en,llama,0.7627
ru-ja,gpt3,0.8006
ru-ja,gpt4,0.7644
ru-ja,llama,0.7314
ru-pl,gpt3,0.8636
ru-pl,gpt4,0.8509
ru-pl,llama,0.7839
zh-en,gpt3,0.8278
zh-en,gpt4,0.8199
zh-en,llama,0.8033
zh-ja,gpt3,0.8637
zh-ja,gpt4,0.8361
zh-ja,llama,0.8374
