id,source,translation
1,"The mother was speaking from the breakfast room, out of my field of view.","Matka mówiła z jadalni, spoza mojego pola widzenia."
2,"I liked that room a lot, with its long, oaken table and glass walls on three sides.",Bardzo podobało mi się to pomieszczenie z długim stołem z drewna dębowego i szklanymi ścianami po trzech stronach.
3,"You could see the bright sparkle of the lake through the glass walls, and sunlight shifted through the moving branches of an ancient willow that shaded the house.","Przez szklane ściany można było dostrzec jasny błysk jeziora, a światło słoneczne przesuwało się przez poruszające się gałęzie starodawnego wierzby, która zacieniała dom."
4,"We had a system of accounting, a chart on a wall.","Mieliśmy system księgowości, wykres na ścianie."
5,There were merits and demerits.,Były zalety i wady.
6,"A merit was for an outrage success­fully committed, a demerit for an act that should bring on humiliation.","""Zasługa była nagrodą za skutecznie popełnione przestępstwo, a wina za czyn, który powinien wywołać upokorzenie."""
7,"Juicy got merits for drooling into cocktails undetected, while Low got demerits for kissing up to a father.","Droge piguły dostał za puszczanie śliny do koktajli bez wykrycia, podczas gdy Lovowi przyznano kary za lepienie ojca."
8,Probably not his own—Low's parentage was a well-kept secret.,Prawdopodobnie nie jego własny — pochodzenie Lowa było dobrze strzeżoną tajemnicą.
9,But he'd been spotted asking a guy with male-pattern baldness for wardrobe advice.,"Ale został zauważony, pytając faceta z łysiną typową dla mężczyzn o poradę dotyczącą garderoby."
10,"We had to hide the running, though, in case our haste betrayed us, so truer to say we slipped out quietly.","Musimy jednak ukryć naszą bieganinę, aby nasza pośpiech przypadkiem nas nie zdradził, więc lepiej powiedzieć, żeśmy cicho się wymk"
11,"When one of my parents appeared, my technique was: pretend to catch sight of someone in the next room.","Kiedy pojawiał się jeden z moich rodziców, moją techniką było: udawać, że dostrzegłem kogoś w sąsiednim pokoju."
12,"Move in a natural manner toward this figment of my imagination, making a purposeful face.","Poruszaj się naturalnie w kierunku tej iluzji mojej wyobraźni, mając na twarzy zdeterminowane wyrażenie."
13,Go through the door.,Przejdź przez drzwi.
14,And fade away.,I zanikać.
15,"As the evenings wore on, some parents got it into their heads to dance.","Kiedy wieczory się dłużyły, niektórzy rodzice wpadli na pomysł, aby potańczyć."
16,A flash of life would move their lumpen bodies.,Błysk życia poruszyłby ich ociężałe ciała.
17,Sad spectacle.,Smutny widok.
18,"They flopped, blasting their old-time music.","Odpalili swoją starą muzykę, wywołując falę ekscytacji."
19,"""Beat on the brat, beat on the brat, beat on the brat with a baseball bat, oh yeah.""","""Bić na narodzonym bracie, bić na narodzonym bracie, bić na narodzonym bracie pałką do baseballa, oh yeah."""
20,Later the talk grew louder.,Później rozmowa stawała się coraz głośniejsza.
21,"Freed of our influence, some of them emitted sudden, harsh barks.",Po uwolnieniu od naszego wpływu niektóre z nich wydawały nagle ostry szczek.
22,"Apparently, laughing.","Widocznie, śmiejąc się."
23,"From the wrap­around porch, with its bamboo torches and hanging ferns and porch swings, moth-eaten armchairs and blue-light bug zappers, the barks of laughter carried.","Rozlegały się śmiechy zastępujące na około porcję ze swoimi bambusowymi pochodniami i zwisającymi paprotkami, bujanymi fotelami i łapaczami komarów."
24,"We heard them from the treehouses and tennis courts and from the field of beehives a slow neighbor woman tended in the daytime, muttering under the veil of her beekeeping hat.","Słyszeliśmy ich zarówno z domeczków na drzewach, jak i kortów tenisowych oraz z pola ulolionych przez sąsiadkę pszczołami, która szepcąc pod welonem swojego pszczelarskiego kapelusza troszczyła się o nie w ciągu dnia."
25,"We heard them from behind the cracked panes of the dilapidated greenhouse or on the cool black water of the lake, where we floated in our underwear at midnight.","Słyszeliśmy ich zza popękanych szyb zaniedbanej szklarni lub na chłodnej czarnej wodzie jeziora, gdzie dryfowaliśmy w naszych majtkach o północy."
26,"THE GREAT HOUSE had been built by robber barons in the nineteenth century, a palatial retreat for the green months.","WIELKI DOM został wybudowany przez rozbójników w XIX wieku, by być pałacowym azylem na zielone miesiące."
27,"Our parents, those so-called figures of authority, roamed its rooms in vague circuits beneath the broad beams, their objectives murky.","Nasi rodzice, te tak zwane autorytety, wędrowali po jej pokojach w nieokreślonych obiegu pod szerokimi belkami, ich cele były mgliste."
28,And of no general interest.,I o żadnym ogólnym zainteresowaniu.
29,The lady urinated.,Pani oddała mocz.
30,"""Oh, poor old thing, she has a nervous bladder!"" exclaimed someone's chubby mother.","— O, biedaczek, ma nerwowy pęcherz! — wykrzyknęła matka tłustego kogoś."
31,"""Is that a Persian rug?""",— Czy to jest perski dywan?
32,Whose mother was it? Unclear.,Czyja to była matka? Niejasne.
33,"No one would cop to it, of course.",Oczywiście nikt by się do tego nie przyznał.
34,We canceled the performance.,Odwołaliśmy przedstawienie.
35,"""Admit it, that was your mother,"" said a kid named Rafe to a kid named Sukey, when the parents had filed out.","— Przyznaj się, to była twoja mama — powiedział chłopak o imieniu Rafe do chłopaka o imieniu Sukey, gdy rodzice wyszli."
36,"Some of their goblets, highball glasses, and beer bottles were completely empty.","Niektóre z ich kieliszków, wysokich szklanek i butelek na piwo były całkowicie puste."
37,Drained.,Wyczerpany.
38,"Those parents were in a hurry, then.",Ci rodzice byli wtedy spieszenia.
39,"""No way,"" said Sukey firmly, and shook her head.",— Nie ma mowy — stanowczo powiedziała Sukey i pokręciła głową.
40,"""Then who is your mother?",„To kto jest twoją matką?
41,The one with the big ass?,Ten z dużym tyłkiem?
42,"Or the one with the clubfoot?""","Czy ten z wadą stopy?"""
43,"""Neither,"" said Sukey.",— Żadne z nich — odpowiedziała Sukey.
44,"""So fuck you.""","""Zatem pierdol się."""
45,"One dog got makeup applied to its face, lipstick and blue eye shadow.","Jednemu psu nałożono makijaż na twarz, szminkę i niebieską cieńkę."
46,"It was a white-faced dog, so the makeup showed up well.","To był pies o białej twarzy, więc charakteryzacja dobrze się prezentowała."
47,We liked to have an impact.,Lubiliśmy robić wrażenie.
48,"When we were done, the lipstick went back into some mother's Fendi handbag.","Kiedy skończylismy, szminka wróciła do jakiejś matczynki Fendi handbag."
49,"We watched her apply it, unaware.","Obserwowaliśmy, jak ją nakładała, nieświadomi."
50,That was satisfying.,To było satysfakcjonujące.
51,"We put the dogs in a play and invited the parents, since there was no one else to be an audience.","Wstawiliśmy psy w sztukę i zaprosiliśmy rodziców, ponieważ nie było nikogo innego, kto mógłby być publicznością."
52,But the pets were poorly trained and failed to take direction.,Ale zwierzęta były źle wyszkolone i nie potrafiły podążać za poleceniami.
53,There were two soldiers and a fancy lady we'd dressed in a frilly padded bra.,"Były dwaj żołnierze i ekskluzywna kobieta, którą ubraliśmy w koronkowy usztywniany biustonosz."
54,The soldiers were cowards.,Żołnierze byli tchórzami.
55,"Deserters, basically.","Dezerterzy, w zasadzie."
56,They ran away when we issued the battle cry.,"Uciekli, gdy wydaliśmy okrzyk bojowy."
57,(A blaring klaxon.,Głośny klakson.
58,It went hoh-onk.),(To szło hoh-onk.)
59,Even the smallest canoe could take us down to the ocean.,Nawet najmniejsza kanu mogłaby nas zabrać na ocean.
60,"We'd paddle across the lake, over a marsh, down a stream, and come to the river's mouth.","Przeprawilibyśmy się łódkami przez jezioro, przez mokradło, w dół strumienia i dotarlibyśmy do ujścia rzeki."
61,Where the water met the sky.,Gdzie woda spotykała się z niebem.
62,"We'd run along the beach on a salt breeze, leaving our boats on the sand.","Pobiegliśmy wzdłuż plaży na solnym wietrze, zostawiając nasze łodzie na piasku."
