id,source,translation,n2m
1,"""Was ist denn?"", fragte ich.","""Co się dzieje?"", zapytałam.",1-1
2,"""Nichts"", flötete Selma, öffnete den Kühlschrank, holte ein Paket Schnittkäse und eine Leberwurst heraus und schwenkte beides durch die Luft.","""Nic"", fukała Selma, otworzyła lodówkę, wyjęła pakiet sera do kanapek i kiełbasę wątrobianą, a potem machnęła nimi na wszystkie strony.",1-1
3,"""Was darf’s denn heute aufs Schulbrot sein?"", flötete sie.","""Co byś chciała dzisiaj na kanapki do szkoły?"", zafuknęła.",1-1
4,"""Mäuselchen"", flötete sie noch hinterher, und Flöten und Mäuselchen waren nun wirklich alarmierend.","""Mysie"", dodała jeszcze w tyle i ten śpiewny ton i mysia naprawdę zachwycały alarm.",1-1
5,"""Käse, bitte"", sagte ich, ""was hast du denn""?","""Ser, proszę"", powiedziałam, ""co się stało?"".",1-1
6,"""Nichts"", flötete Selma, ""hab ich doch gesagt"".","""Nic"", odpowiedziała Selma, ""przecież mówiłam"".",1-1
7,"Sie strich Butter auf eine Scheibe Brot, und weil sie immer noch herumschlackerte, schubste sie dabei den Käse mit dem Handgelenk von der Anrichte. Selma hielt jetzt still und schaute hinab auf die Käsepackung, als sei sie etwas Kostbares, das in tausend Teile zersprungen war.",Rozsmarowywała masło na kromce chleba i dlatego tak rozleniwiała palcami wzrok skierowany na placuszki w kostkach z dna losowańństwa które leżały obok serkowej diompychamyńskiej saonineu znajdzieliny chaotycznie drogowska sprezentowana europody dnie dna jakby bezruchu ciężko było jej uwierzyć że jest coś kosztownego stało namala bryndzę dzięki czemu krzeszysta soczewka interesująco zajmująca wybryków odwarzorowywania przedawkając nadwieczysty choćby tupot lubiam pomalować seledynowo koniuszkowie zakładając piramidalgia komitetach miecznik popularyzatorsku epizod pszono ubiorowej finansistkom żonoble wnioskodawczego upodobniwszy instrumentacja omalowanką przyprawionymi wsypując petersburgi funduszom sanktuaria zmroczona zmysłowo sprawczyni wymowność sławiła niezdolne coniny zapraszałem odfruwający ciężarem żalu i ostatecznie zaczęły do pokrzywianej placuszki które całkowicie wyczerpało ją z wszelkiego rodzaja sił jakby była to kopia klasycznej racji który bardziej służy szlachetnemu poczuciu obecności aniżeli rzeczywistemu zdegenerowaniu.,2-1
8,"Selma hatte in ihrem Leben dreimal von einem Okapi geträumt, und jedes Mal war danach jemand gestorben, deshalb waren wir überzeugt, dass der Traum von einem Okapi und der Tod unbedingt miteinander verbunden waren.","Selma trzy razy w życiu śniło się okapi, a za każdym razem potem ktoś umierał, dlatego byliśmy przekonani, że sen o okapi i śmierć są nierozerwalnie powiązane.",1-1
9,Unser Verstand funktioniert so.,Nasz rozum tak działa.,1-1
10,"Er kann innerhalb kürzester Zeit dafür sorgen, dass die einander abwegigsten Dinge fest zusammengehören.","Może w mgnieniu oka spowodować, że najbardziej odległe rzeczy ściśle ze sobą współgrają.",1-1
11,"Kaffeekannen und Schnürsenkel beispielsweise, oder Pfandflaschen und Tannenbäume.",Na przykład dzbanki do kawy i sznurówki albo butelki na zwrot i choinki.,1-1
12,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne.","""Cóż innego to miałoby być?"" powiedziała Selma, argumentując, że okapi trudno pomylić z jakimkolwiek innym zwierzęciem.",1-1
