id,source,translation
1,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","Porównywali ją do poprzedniej wojny, tej wielkiej, z roku 14, wygranej w krwi i chwale, wojny mężczyzn, którą kobiety przy stole słuchały z szacunkiem."
2,"Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918.","Rozmawiali o Szlaku Dam, o Verdun, o zatrutych gazem żołnierzach, oraz o dzwonach z 11 listopada 1918 roku."
3,Ils nommaient des villages dont pas un enfant parti au front n'était revenu.,"Wymieniali wsie, z których żadne z dzieci wysłanych na front nie wróciło."
4,"Ils opposaient les soldats dans la boue des tranchées aux prisonniers de 40, au chaud et à l'abri pendant cinq ans, qui n'avaient même pas reçu de bombes sur la tête.","Przez pięć lat wysyłali żołnierzy do błotnistych okopów i trzymali ich tam w przeciwieństwie do więźniów z 1940 roku, którzy nie otrzymywali nawet bomb na swoje głowy."
5,Ils se disputaient l'héroïsme et le malheur.,Spierali się o bohaterstwo i nieszczęście.
6,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant.","Ale rozmawiali tylko o tym, co widzieli, co można było przypomnieć sobie jedząc i pijąc."
7,Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu.,"Nie mieli wystarczającego talentu ani przekonania, aby mówić o tym, czego wiedzieli, ale nie widzieli."
8,"Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima.","Więc ani żydowskie dzieci wsiadające do pociągów do Auschwitz, ani umierający z głodu, zbierani rano w warszawskim getcie, ani 10 000 stopni w Hiroszimie."
9,"D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Skąd pochodziło to wrażenie, że kursy historii, dokumenty i filmy później go nie rozwieją: ani komory gazowe, ani bomby atomowe nie znajdowały się w tym samym okresie co masło na czarnym rynku, alarmy i schadzki do piwnicy."
10,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux.","Pod niezmiennością plakaty zeszłorocznego cyrku z zdjęciem Rogera Lanzaca, obrazki pierwszej komunii rozdawane kolegom, Klub Piosenkarzy na Radio Luxembourg, dni wypełniały się nowymi pragnieniami."
11,"Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision.",W niedzielne popołudnie gromadzili się przed telewizorem przy witrynie ogólnego sklepu elektrycznego.
12,Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle.,"Kawiarnie inwestowały w zakup stanowiska, aby przyciągnąć klientelę."
13,Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière.,"Po zboczach wzgórz wiją się trasy motocrossowe i przez cały dzień obserwuje się wznoszące i opadające, ogłuszające maszyny."
14,"L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes.","Rozwścieczona niecierpliwość ekonomii z jej nowymi hasłami: ""inicjatywa"", ""dynamiczność"", wstrząsała rutynowym życiem miast."
15,"Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps.","Między wesołym miasteczkiem a festynem, ""Quinzaine commerciale"" stawała się wiosennym rytuałem."
16,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.","Na ulicach centrum, głośniki wydawały odzywki zachęcające do zakupów, przerywane piosenkami Annie Cordy i Eddie Constantine'a, aby wygrać Simcę lub jadalnię."
17,"Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio.","Na podium, na Placu Miejskim, miejscowy animator bawił się sucharami od Rogera Nicolasa i Jeana Richardsa, przyciągał kandydatów do ""Krzyżyka czy Zerówki"", tak jak w radiu."
18,Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce.,"Siedząca w kącie podium, pod swoją koroną królowa handlu."
19,La marchandise avançait sous les couleurs de la fête.,Towar zmierzał pod barwami święta.
20,"Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","Ludzie mówili ""to się zmienia"" albo ""nie ma sensu unieruchamiać się, traci się rozum, siedząc w domu""."
21,"De main en main passaient des photos brunies au dos taché par tous les doigts qui les avaient tenues dans d'autres repas, mélange de café et de graisse fondu en une couleur indéfinissable.","Z ręki do ręki przechodziły zmizerniałe fotografie o plamionym tyle od wszystkich palców, które je trzymały podczas innych posiłków, mieszanka kawy i roztopionego tłuszczu w nieokreślonym kolorze."
22,"Dans les mariés raides et graves, les invités de la noce s'étageant sur plusieurs rangs le long d'un mur, on ne reconnaissait ni ses parents ni personne.","Na ślubie, wśród poważnych i skulonych nowożeńców, goście rozłożeni na kilku rzędach wzdłuż ściany nie poznali ani swoich krewnych, ani nikogo z obecnych."
23,"Ce n'était pas soi non plus qu'on voyait dans le bébé de sexe indistinct à demi nu sur un coussin mais quelqu'un d'autre, une créature appartenant à un temps muet et inaccessible.","Nie był to również sam siebie, co widzieliśmy w tej nieznanej płci dzieciny, nago na poduszce. Był to ktoś inny, istota należąca do niemego i niedostępnego czasu."
24,Récit familial et récit social c'est tout un.,Opowieść rodzinna i społeczna to to samo.
25,"Les voix des convives délimitaient les espaces de la jeunesse : la campagne et les fermes où, de mémoire perdue, les hommes avaient été commis et les filles servantes, l'usine où tous s'étaient rencontrés, fréquentés et mariés, les petits commerces où avaient accédé les plus ambitieux.","Głosy gości wyznaczały przestrzenie młodości: wieś i gospodarstwa, w których od przysłowiowej wieków byli zatrudnieni mężczyźni i służące, fabryka, w której wszyscy się spotkali, poznali i pobrali, małe sklepiki, do których dotarli najbardziej ambitni."
26,"Elles dessinaient des histoires sans événements personnels autres que les naissances, les mariages et les deuils, sans voyages en dehors du régiment dans une lointaine ville de garnison, des existences occupées par le travail, sa dureté et son usure, les menaces de la boisson.","Rysowały historie bez osobistych wydarzeń, inne niż narodziny, śluby i żałoby, bez podróży poza regimentem do odległego garnizonowego miasta, życia wypełnionego pracą, jej surowością i zużyciem oraz groźbami alkoholu."
27,"L'école était un arrière-fond mythique, un bref âge d'or dont l'Instituteur avait été le dieu rude avec sa règle en fer pour taper sur les doigts.","Szkoła była mitycznym tłem, krótkim złotym wiekiem, którego Nauczyciel był surowym bogiem z żelaznym liniałem do uderzania po palcach."
28,La frénésie qui avait suivi la Libération s'estompait.,"Szał, który nastąpił po wyzwoleniu, powoli mijał."
29,Alors les gens ne pensaient qu'à sortir et le monde était plein de désirs à satisfaire sur-le-champ.,Wówczas ludzie myśleli tylko o wyjściu i świat był pełen natychmiastowych pragnień do spełnienia.
30,"Tout ce qui constituait la première fois depuis la guerre provoquait la ruée, les bananes, les billets de la Loterie nationale, le feu d'artifice.","Wszystko, co stanowiło pierwszy raz od wojny, wywoływało pogoń: banany, losy Krajowej Loterii, fajerwerki."
31,"Par quartiers entiers, de la grand-mère soutenue par ses filles au nourrisson en landau, les gens se précipitaient à la fête foraine, à la retraite aux flambeaux, au cirque Bouglione où ils manquaient être piétinés dans la bousculade.","Ludzie w całe dzielnice, począwszy od babci wspieranej przez córki, aż po niemowlę na wózku spacerowym, garnęli się na jarmark, pochód z pochodniami i cyrk Bouglione, gdzie omal nie zostali stratowani w tłumie."
32,Ils se portaient en foule priante et chantante sur la route pour accueillir la statue de Notre-Dame de Boulogne et la reconduire le lendemain sur des kilomètres.,"Gromadnie przemierzali trasę, odmawiając modlitwy i śpiewając, aby przywitać figurę Matki Bożej z Boulogne i odprowadzić ją następnego dnia na kilometrach."
33,"Profane ou religieuse, toute occasion leur était bonne d'être au-dehors ensemble, comme s'ils voulaient continuer de vivre collectivement.","Jeszcze jedno pytanie -- czy życzymy sobie, żeby kontynuowały one wspólne życie, niezależnie od tego, czy były świeckie czy zakonne?"
34,"Le dimanche soir, les cars revenaient de la mer avec de grands jeunes gens en short qui chantaient à tue-tête, grimpés sur le toit à bagages.","W niedzielny wieczór autokary wracały z morza z wielkimi młodymi mężczyznami w krótkich spodenkach, którzy hałaśliwie śpiewali, stojąc na dachu bagażówki."
35,Les chiens se promenaient en liberté et s'accouplaient au milieu de la rue.,Psy chodziły swobodnie i parzyły się na środku ulicy.
36,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","Dzieci nie słuchały i jak tylko dostawały pozwolenie, śpieszyły się opuścić stół, korzystając z ogólnego życzliwości dni świątecznych, aby oddać się zabranym zabawom, skakaniu po łóżkach i huśtaniu na głowie."
37,Mais ils retenaient tout.,Ale wszystko zatrzymywali.
