id,source,translation
1,"Nie wyjdzie stamtąd, mówię wam powiedział pryszczaty, z przekonaniem kiwając głową.",「彼はそこから出てこないよ、と私は皆に言います」とニキビ顔が頭をうなずきながら断定的に語った。
2,"Już godzina i ćwierć, jak tam wlazł.",彼がそこに入ったのはすでに1時間15分も経っている。
3,Już po nim.,もう彼のことは終わりだ。
4,"Mieszczanie, stłoczeni wśród ruin, milczeli wpatrzeni w ziejący w rumowisku czarny otwór, w zagruzowane wejście do podziemi.",市民たちは、廃墟の中に密集し、倒壊した地下入口へと開けた黒い穴を見つめて無言で立っていました。
5,"Grubas w żółtym kubraku przestąpił z nogi na nogę, chrząknął, zdjął z głowy wymięty beret.",黄色の大きなコートを着た太った男が足から足へと体重を移し、喉をクリアし、くしゃくしゃになったベレー帽を頭から取りました。
6,"Poczekajmy jeszcze powiedział, ocierając pot z rzadkich brwi.",「まだ少し待ちましょう」と彼は言いながら、稀な眉毛から滴る汗をぬぐった。
7,Na co? prychnął pryszczaty.,「何のために？」とにきび面が鼻を鳴らした。
8,"Tam, w lochach, siedzi bazyliszek, zapomnieliście, wójcie?",「あそこ、地下牢にはバジリスクがいるんだぞ、町長様。忘れてないですよね？」
9,"Kto tam wchodzi, ten już przepadł.",そこに入る者はもう過去の人だ。
10,Mało to ludzi tam poginęło?,そこで何人もの人が亡くなったのか？
11,Na co tedy czekać?,何を待っているんだ？
12,Umawialiśmy się przecie mruknął niepewnie grubas.,「予定があったんでしょ」太った男が不確かな声でぶつぶつ言った。
13,Jakże tak?,どうしてそうなるのか？
14,"Z żywym się umawialiście, wójcie rzekł towarzysz pryszczatego, olbrzym w skórzanym, rzeźnickim fartuchu.",「生きている人とアポをとったんだろう、顔に吹き出物のある男の仲間、巨大な肌着を着た屠殺者が飼い主に言った。」
15,"A nynie on martwy, pewne to jak słońce na niebie.",そして今彼は死んでいる、それは空の太陽が確実なように。
16,"Z góry było wiadomo, że na zgubę idzie, jako i inni przed nim.",最初から彼が破滅の道を歩んでいることは明らかで、彼の前にいた人たちと同じだ。
17,"Przecie on nawet bez zwierciadła polazł, z mieczem tylko.",彼は鏡も持たずに行ってしまった、剣だけを持って。
18,"A bez zwierciadła bazyliszka nie da się zabić, każdy to wie.",そしてバジリスクを倒すためには鏡なしでは無理だ、それは誰もが知っていることだ。
19,"Zaoszczędziliście grosza, wójcie dodał pryszczaty.",「一銭もケチったな、そうだろう、にきび面の村長」
20,Bo i płacić za bazyliszka nie ma komu.,だって、誰もバジリスクの代金を払う人なんていないんだから。
21,Idźcie tedy spokojnie do dom.,あなた達は安心してその道を進み、家に帰ってください。
22,"A konia i dobytek czarownika my weźmiemy, żal dać przepadać dobru.",そして、魔術師の馬と家畜は我々が所有することになる。その富を落とし穴に捨てるのは悔しい。
23,Ano powiedział rzeźnik.,「ええ、その通りだよ」と肉屋が言った。
24,"Sielna klacz, a i juki nieźle wypchane.",健康な雌馬と鹿のぬいぐるみもよく出来ている。
25,"Zajrzyjmy, co w środku.",中身を見てみましょう。
26,Jakże tak?,どうしてそんなことが？
